,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
133,awbari,69,LY,1582695249,29,26.59,12.78,54.75,7.56
134,geraldton,90,AU,1582695249,83,-28.77,114.6,77.0,14.99
135,jayanca,75,PE,1582695250,29,-6.39,-79.82,66.2,10.29
136,oistins,20,BB,1582695250,78,13.07,-59.53,77.0,10.29
137,taltal,31,CL,1582695192,92,-25.4,-70.48,60.49,2.62
138,bendigo,45,AU,1582695250,33,-36.77,144.28,68.0,5.01
139,guerrero negro,0,MX,1582695250,24,27.98,-114.06,66.38,14.2
140,vardo,20,NO,1582695250,85,70.37,31.11,14.0,16.11
141,nuuk,39,GL,1582695148,85,64.18,-51.72,12.2,10.29
142,diapaga,0,BF,1582695250,19,12.07,1.79,65.95,7.52
143,thompson,5,CA,1582695250,75,55.74,-97.86,-16.6,1.28
144,norman wells,20,CA,1582695250,75,65.28,-126.83,-20.2,4.45
145,olinda,75,BR,1582695251,83,-8.01,-34.86,78.8,6.93
146,acapulco,20,MX,1582695146,78,16.86,-99.89,77.0,3.36
147,alamos,0,MX,1582695251,68,27.02,-108.93,62.01,1.01
148,shaunavon,71,CA,1582695251,88,49.65,-108.42,10.44,10.18
149,east london,1,ZA,1582695251,54,-33.02,27.91,78.8,12.75
150,lumeje,100,AO,1582695251,86,-11.55,20.78,67.3,1.92
151,sur,0,OM,1582695251,39,22.57,59.53,83.66,6.51
152,dikson,100,RU,1582695251,93,73.51,80.55,23.29,23.4
153,touros,40,BR,1582695177,88,-5.2,-35.46,77.0,3.36
154,lokosovo,94,RU,1582695251,87,61.13,74.82,16.36,10.04
155,parkes,82,AU,1582695252,21,-33.13,148.18,91.0,3.0
156,bambous virieux,75,MU,1582695252,88,-20.34,57.76,78.8,13.87
157,bengkulu,60,ID,1582695252,54,-3.8,102.27,90.39,5.32
158,muros,75,ES,1582695252,93,42.78,-9.06,54.0,4.7
159,hirara,20,JP,1582695252,57,24.8,125.28,78.8,8.05
160,airai,68,TL,1582695252,69,-8.93,125.41,81.03,3.67
161,nehe,0,CN,1582695252,82,48.48,124.83,23.52,5.08
162,byron bay,27,AU,1582695252,78,-28.65,153.62,89.6,19.46
163,huambo,18,AO,1582695252,92,-12.78,15.74,62.08,2.21
164,chabahar,75,IR,1582695252,100,25.29,60.64,69.8,6.93
165,aksu,0,CN,1582695253,27,41.12,80.26,50.45,2.73
166,brae,94,GB,1582695253,86,60.4,-1.35,37.4,8.05
167,yumen,47,CN,1582695253,23,40.28,97.2,48.85,10.25
168,adrar,18,MR,1582695253,14,20.5,-10.07,62.76,10.09
169,batemans bay,67,AU,1582695027,68,-35.72,150.18,84.99,13.0
170,baykit,78,RU,1582695253,84,61.67,96.37,13.95,1.34
171,praia da vitoria,20,PT,1582695253,93,38.73,-27.07,50.0,8.9
172,farah,100,AF,1582695253,28,32.5,62.5,69.08,4.0
173,bulgan,71,MN,1582695253,77,48.81,103.53,19.35,4.38
174,tuatapere,48,NZ,1582695253,49,-46.13,167.68,68.88,4.45
175,longyearbyen,75,SJ,1582695241,76,78.22,15.64,-4.0,4.7
176,minot,90,US,1582695126,78,48.23,-101.3,17.6,10.29
177,codrington,33,AU,1582695254,62,-38.27,141.97,58.05,15.5
178,nome,1,US,1582695254,65,64.5,-165.41,5.0,10.47
179,bismarck,1,US,1582695159,79,46.81,-100.78,21.2,8.05
180,kampong thum,0,KH,1582695254,29,12.71,104.89,95.85,4.94
181,chumphon,20,TH,1582695254,55,10.33,98.83,89.6,17.22
182,capaccio,80,IT,1582695254,93,40.42,15.08,54.0,1.01
183,port hardy,90,CA,1582695035,86,50.7,-127.42,41.0,11.41
184,pandan,54,PH,1582695254,74,14.05,124.17,81.7,14.85
185,porto seguro,20,BR,1582695254,94,-16.45,-39.06,75.2,3.36
186,phek,77,IN,1582695255,77,25.67,94.5,58.73,1.88
187,talnakh,90,RU,1582695255,92,69.49,88.4,15.8,33.55
188,port lincoln,94,AU,1582695255,61,-34.73,135.87,64.47,15.19
189,narsaq,75,GL,1582695255,28,60.92,-46.05,17.6,16.11
190,carnarvon,0,AU,1582695168,70,-24.87,113.63,86.0,17.22
191,rawson,15,AR,1582695182,54,-43.3,-65.1,63.3,14.45
192,verkhoyansk,100,RU,1582695255,86,67.54,133.38,9.43,3.91
193,inhambane,40,MZ,1582695255,88,-23.86,35.38,75.2,7.49
194,vilcun,1,CL,1582695255,100,-38.65,-72.23,48.0,1.12
195,aykhal,80,RU,1582695255,78,66.0,111.5,12.2,4.47
196,san patricio,0,MX,1582695255,79,19.22,-104.7,72.46,3.38
197,belyy yar,93,RU,1582695255,85,53.6,91.39,17.6,2.24
198,lagoa,40,PT,1582695256,81,39.05,-27.98,60.76,13.67
199,hofn,71,IS,1582695256,65,64.25,-15.21,34.47,31.88
200,springfield,90,US,1582695010,96,37.22,-93.3,36.0,11.41
201,tandalti,0,SD,1582695256,16,13.02,31.87,66.67,15.64
202,svetlyy,33,RU,1582695256,85,54.67,20.13,37.4,11.18
203,georgetown,20,MY,1582695130,62,5.41,100.34,91.4,11.41
204,rosario do sul,20,BR,1582695256,71,-30.26,-54.91,61.59,10.76
205,ribeira grande,19,PT,1582695256,77,38.52,-28.7,56.82,9.22
206,segamat,20,MY,1582695256,52,2.51,102.82,91.4,9.17
207,sao filipe,3,CV,1582695256,52,14.9,-24.5,75.38,14.5
208,betare oya,41,CM,1582695257,32,5.6,14.08,61.34,2.55
209,alofi,52,NU,1582695257,78,-19.06,-169.92,82.4,4.7
210,merauke,7,ID,1582695257,63,-8.47,140.33,87.3,8.59
211,castro,97,BR,1582695062,96,-24.79,-50.01,66.45,5.03
212,ismailia,0,EG,1582695257,76,30.6,32.27,54.54,3.6
213,le vauclin,20,MQ,1582695257,83,14.55,-60.84,75.2,2.24
214,biak,73,ID,1582695257,68,-0.91,122.88,85.32,6.55
215,nouadhibou,98,MR,1582695257,37,20.93,-17.03,71.6,10.29
216,bilma,0,NE,1582695257,30,18.69,12.92,56.95,8.05
217,aguilas,18,ES,1582695257,68,37.41,-1.58,54.0,7.0
218,diamantino,74,BR,1582695257,93,-14.41,-56.45,71.1,1.52
219,barra do garcas,100,BR,1582695258,93,-15.89,-52.26,73.54,1.5
220,dunedin,49,NZ,1582695160,78,-45.87,170.5,64.99,23.89
221,jaszdozsa,90,HU,1582695258,93,47.57,20.02,48.2,2.24
222,smithers,90,CA,1582695258,95,54.78,-127.17,32.0,2.24
223,katsuura,75,JP,1582695258,81,35.13,140.3,48.99,11.41
224,hilo,40,US,1582695258,64,19.73,-155.09,75.2,6.93
225,erenhot,0,CN,1582695258,71,43.65,111.98,24.28,8.68
226,manzhouli,0,CN,1582695258,76,49.6,117.43,13.41,3.89
227,mpanda,100,TZ,1582694986,97,-6.37,31.04,67.08,1.14
228,waipawa,38,NZ,1582695249,47,-41.41,175.52,75.2,12.75
229,glens falls,90,US,1582695259,80,43.31,-73.64,37.99,4.7
230,mahebourg,75,MU,1582695259,88,-20.41,57.7,78.8,13.87
231,hornepayne,100,CA,1582695259,97,49.21,-84.77,1.15,5.82
232,sterling,90,US,1582695259,100,39.01,-77.43,51.8,1.34
233,ambanja,75,MG,1582695259,67,-13.68,48.45,78.8,2.24
234,trelew,32,AR,1582695182,38,-43.25,-65.31,60.55,13.71
235,sioux lookout,90,CA,1582695259,71,50.1,-91.92,6.8,4.0
236,ubon ratchathani,0,TH,1582695259,43,15.22,104.85,89.6,5.82
237,salalah,0,OM,1582695259,78,17.02,54.09,75.2,2.24
238,trincomalee,24,LK,1582695259,55,8.57,81.23,86.85,8.34
239,faanui,16,PF,1582695259,71,-16.48,-151.75,82.47,6.17
240,bosaso,96,SO,1582695260,88,11.28,49.18,73.4,8.05
241,cayenne,20,GF,1582695003,88,4.93,-52.33,75.2,4.65
242,esperance,75,AU,1582695260,53,-33.87,121.9,75.2,9.17
243,victoria,20,HK,1582695002,65,22.29,114.16,81.0,9.17
244,kiunga,21,PG,1582695260,48,-6.12,141.29,94.87,2.37
245,borovskoy,100,KZ,1582695260,94,53.8,64.15,29.55,18.34
246,luanda,40,AO,1582695260,88,-8.84,13.23,77.0,7.7
247,linqiong,28,CN,1582695260,55,30.42,103.46,69.01,4.47
248,shimoda,75,JP,1582695260,87,34.67,138.95,52.0,17.22
249,kaseda,75,JP,1582695260,52,31.42,130.32,66.2,18.34
250,fairbanks,1,US,1582695213,82,64.84,-147.72,-13.0,3.56
251,bani,55,DO,1582695260,81,18.28,-70.33,73.99,3.0
252,husavik,75,IS,1582695261,92,66.04,-17.34,24.8,16.11
253,khao wong,40,TH,1582695261,37,16.7,104.09,90.0,8.05
254,biri,90,PH,1582695261,70,12.68,124.36,81.95,15.37
255,north bend,1,US,1582695261,87,43.41,-124.22,46.4,3.36
256,palembang,31,ID,1582695122,57,-2.92,104.75,90.63,6.89
257,sawtell,40,AU,1582695261,69,-30.38,153.1,87.8,19.46
258,hambantota,40,LK,1582695261,79,6.12,81.12,84.2,14.99
259,nago,90,JP,1582695261,72,26.59,127.98,71.6,8.05
260,parrita,37,CR,1582695261,77,9.52,-84.32,68.0,4.7
261,sao raimundo nonato,99,BR,1582695261,83,-9.02,-42.7,72.79,0.96
262,ozernovskiy,100,RU,1582695262,75,51.5,156.52,22.8,4.18
263,san rafael,0,AR,1582695262,35,-34.62,-68.33,60.21,0.87
264,bubaque,93,GW,1582695262,73,11.28,-15.83,78.82,8.75
265,envira,99,BR,1582695262,97,-7.3,-70.22,72.19,0.47
266,kampene,100,CD,1582695262,87,-3.6,26.67,69.82,2.1
267,belmonte,20,BR,1582695262,94,-15.86,-38.88,75.2,3.36
268,werda,12,BW,1582695262,57,-25.27,23.28,71.51,6.93
269,tura,8,IN,1582695232,47,25.52,90.22,80.78,1.1
270,pisco,75,PE,1582695262,88,-13.7,-76.22,71.6,10.29
271,la union,94,PE,1582695262,69,-5.4,-80.75,78.78,11.16
272,bethel,90,US,1582695263,100,41.37,-73.41,46.99,3.36
273,aguada de pasajeros,0,CU,1582695263,88,22.39,-80.85,77.0,2.24
274,yaya,88,RU,1582695263,90,56.21,86.44,19.72,4.7
275,korla,2,CN,1582695134,37,41.76,86.15,38.26,5.21
276,asau,100,RO,1582695263,74,46.43,26.4,41.0,8.05
277,kalispell,90,US,1582695263,59,48.2,-114.31,33.8,3.36
278,sitka,90,US,1582695263,75,57.05,-135.33,41.0,14.99
279,key west,75,US,1582695158,78,24.56,-81.78,80.6,12.75
280,wadi maliz,40,TN,1582695263,82,36.47,8.55,55.4,4.7
281,cockburn town,0,TC,1582695263,76,21.46,-71.14,74.89,17.05
282,clarence town,90,AU,1582695264,88,-32.58,151.78,84.99,34.45
283,aklavik,20,CA,1582695243,75,68.22,-135.01,-18.4,5.82
284,louviers,100,FR,1582695264,100,49.22,1.17,37.4,11.41
285,margate,84,GB,1582695264,76,51.38,1.39,37.0,14.99
286,vangaindrano,92,MG,1582695264,79,-23.35,47.6,72.97,2.86
287,nadym,100,RU,1582695264,91,65.53,72.52,18.25,18.41
288,salatrucu,75,RO,1582695264,80,45.33,24.52,36.0,2.59
289,sambava,76,MG,1582695264,65,-14.27,50.17,86.2,0.74
290,guilin,40,CN,1582695046,65,25.28,110.29,77.0,2.24
291,sibolga,39,ID,1582695264,46,1.74,98.78,93.36,2.57
292,ploemeur,75,FR,1582695265,80,47.73,-3.43,44.01,16.11
293,kantunilkin,20,MX,1582695265,83,21.09,-87.45,78.8,11.41
294,padang,84,ID,1582695265,54,-0.95,100.35,86.74,2.1
295,killarney,34,IE,1582695265,80,52.05,-9.52,32.81,8.43
296,tefe,100,BR,1582695265,96,-3.35,-64.71,74.26,1.16
297,matola,20,MZ,1582695265,83,-25.96,32.46,73.99,3.36
298,krasnovishersk,100,RU,1582695265,96,60.41,57.08,27.09,8.39
299,tiarei,40,PF,1582695265,70,-17.53,-149.33,84.2,6.93
300,andenes,90,NO,1582695265,92,69.31,16.12,30.2,21.92
301,vagur,97,FO,1582695265,65,61.47,-6.81,41.27,16.15
302,roura,20,GF,1582695266,88,4.73,-52.33,75.2,0.83
303,hamilton,90,US,1582695266,100,39.18,-84.53,42.8,5.82
304,ilhabela,100,BR,1582695072,85,-23.78,-45.36,76.86,6.62
305,carrickfergus,27,GB,1582695266,93,54.72,-5.81,36.0,11.41
306,hobyo,67,SO,1582695266,63,5.35,48.53,82.02,19.98
307,udachnyy,61,RU,1582695266,78,66.42,112.4,12.2,4.47
308,fallon,75,US,1582695266,27,39.47,-118.78,37.0,5.82
309,gayeri,0,BF,1582695266,17,12.65,0.49,66.63,7.9
310,biltine,0,TD,1582695267,17,14.53,20.92,65.28,12.59
311,elat,40,IL,1582695267,81,29.56,34.95,53.6,3.8
312,namatanai,82,PG,1582695267,73,-3.67,152.43,84.51,3.87
313,krutikha,83,RU,1582695267,91,53.96,81.21,16.0,10.31
314,axim,86,GH,1582695267,95,4.87,-2.24,76.33,1.05
315,namibe,94,AO,1582695267,79,-15.2,12.15,73.49,11.27
316,provideniya,5,RU,1582695267,71,64.38,-173.3,6.8,15.66
317,dwarka,0,IN,1582695267,64,22.24,68.97,76.86,3.13
318,chudovo,100,RU,1582695268,92,59.12,31.68,28.42,11.77
319,christchurch,72,NZ,1582695250,77,-43.53,172.63,66.99,19.46
320,kahului,40,US,1582695067,73,20.89,-156.47,73.4,13.87
321,arona,0,ES,1582695268,59,28.1,-16.68,68.0,10.29
322,reconquista,3,AR,1582695268,55,-29.15,-59.65,64.44,3.69
323,loandjili,40,CG,1582695268,94,-4.76,11.86,80.6,5.82
324,liverpool,40,GB,1582695268,86,53.41,-2.98,39.2,19.46
325,tessalit,0,ML,1582695268,14,20.2,1.01,61.09,9.8
326,lahat,84,ID,1582695268,65,-3.8,103.53,82.09,5.46
327,itarema,100,BR,1582695269,100,-2.92,-39.92,77.0,2.24
328,rio grande,37,BR,1582695269,87,-32.03,-52.1,61.0,20.09
329,fomboni,60,KM,1582695269,75,-12.28,43.74,84.63,12.28
330,belaya gora,99,RU,1582695269,93,68.53,146.42,-2.97,14.34
331,volkhovskiy,100,RU,1582695269,95,58.58,31.32,29.68,10.09
332,aparecida do taboado,75,BR,1582695269,95,-20.09,-51.09,71.8,5.73
333,deputatskiy,90,RU,1582695269,83,69.3,139.9,2.01,10.36
334,lavrentiya,57,RU,1582695269,85,65.58,-171.0,-6.52,5.01
335,gao,4,ML,1582695269,15,16.64,1.64,63.64,12.3
336,coahuayana,9,MX,1582695269,90,18.73,-103.68,64.63,2.8
337,totness,11,SR,1582695269,79,5.88,-56.32,77.97,14.94
338,hasaki,75,JP,1582695269,81,35.73,140.83,48.2,17.22
339,osijek,94,HR,1582695270,80,45.55,18.69,45.0,9.17
340,high level,90,CA,1582695000,85,58.52,-117.14,10.4,2.24
341,chapais,1,CA,1582695161,92,49.78,-74.85,5.0,5.82
342,lazaro cardenas,12,MX,1582695270,87,17.96,-102.2,69.84,1.41
343,waingapu,50,ID,1582695270,75,-9.66,120.26,85.53,14.76
344,antequera,72,ES,1582695270,72,37.02,-4.56,62.01,19.46
345,faya,98,SA,1582695270,76,18.39,42.45,57.2,9.17
346,berlevag,64,NO,1582695270,67,70.86,29.09,17.6,12.75
347,takahashi,75,JP,1582695270,62,34.78,133.62,51.8,8.05
348,samana,46,DO,1582695271,97,19.21,-69.34,68.47,2.68
349,burgdorf,90,DE,1582695271,93,52.45,10.01,37.99,4.7
350,okha,44,RU,1582695271,88,53.57,142.95,9.48,14.0
351,atarra,0,IN,1582695271,39,25.28,80.57,76.32,4.07
352,povenets,60,RU,1582695271,96,62.85,34.83,12.92,3.87
353,sao joao da barra,84,BR,1582695271,93,-21.64,-41.05,75.56,9.1
354,sechura,52,PE,1582695271,87,-5.56,-80.82,75.6,7.18
355,port hedland,54,AU,1582695271,59,-20.32,118.57,93.2,11.41
356,kayerkan,90,RU,1582695271,92,69.35,87.76,15.8,33.55
357,puga,14,MX,1582695271,90,21.58,-104.82,57.78,2.86
358,bonfim,12,BR,1582695272,65,3.08,-59.95,78.3,9.1
359,lasa,5,IT,1582695272,92,46.62,10.7,37.0,4.7
360,vary,40,UA,1582695272,81,48.12,22.71,48.2,10.29
361,krasnoselkup,100,RU,1582695272,91,65.7,82.47,14.9,19.51
362,aswan,0,EG,1582695272,52,24.09,32.91,57.6,8.61
363,mackay,75,AU,1582695272,74,-21.15,149.2,86.0,9.17
364,gimli,63,CA,1582695272,98,50.63,-96.99,-3.91,5.64
365,cordoba,0,AR,1582695243,87,-31.41,-64.18,66.0,3.36
366,verkhnyaya inta,100,RU,1582695272,77,65.98,60.31,28.09,14.18
367,kenora,5,CA,1582695272,71,49.82,-94.43,6.8,4.7
368,galway,75,IE,1582695148,76,53.27,-9.05,39.2,13.87
369,port-gentil,40,GA,1582695273,88,-0.72,8.78,82.4,4.7
370,kajaani,17,FI,1582695273,84,64.23,27.73,-0.4,1.12
371,walvis bay,0,NA,1582695273,93,-22.96,14.51,71.01,4.7
372,gilgit,8,PK,1582695273,31,35.92,74.31,19.78,5.08
373,tera,13,NE,1582695273,15,14.01,0.75,65.88,8.93
374,laguna,1,US,1582695165,54,38.42,-121.42,60.01,3.36
375,pangkalanbuun,100,ID,1582695222,70,-2.68,111.62,84.76,4.38
376,cuamba,100,MZ,1582695273,82,-14.8,36.54,70.61,10.71
377,kavieng,20,PG,1582695273,70,-2.57,150.8,84.72,4.81
378,akyab,63,MM,1582695273,55,20.15,92.9,76.51,8.7
379,tokur,62,RU,1582695273,80,53.13,132.9,16.25,1.97
380,riyadh,0,SA,1582695149,33,24.69,46.72,59.0,13.87
381,constitucion,0,CL,1582695274,46,-35.33,-72.42,61.59,6.93
382,trogir,75,HR,1582695274,82,43.51,16.25,55.4,5.82
383,alekseyevsk,35,RU,1582695274,83,57.84,108.35,21.52,0.56
384,plettenberg bay,0,ZA,1582695274,63,-34.05,23.37,70.47,7.85
385,honiara,60,SB,1582695274,84,-9.43,159.95,79.03,2.84
386,linxia,0,CN,1582695274,31,35.6,103.21,43.57,6.04
387,apac,28,UG,1582695274,41,1.98,32.54,79.2,3.56
